Future Close (AAPL),Year,Month,Day,Open (AAPL),High (AAPL),Low (AAPL),Close (AAPL),Volume (AAPL),Open  (VGT),High (VGT),Low (VGT),Close (VGT),Volume (VGT),Open (IYW),High (IYW),Low (IYW),Close (IYW),Volume (IYW),Open (SPY),High (SPY),Low (SPY),Close (SPY),Volume (SPY),Open (AMZN),High (AMZN),Low (AMZN),Close (AMZN),Volume (AMZN),Open (MSFT),High (MSFT),Low (MSFT),Close (MSFT),Volume (MSFT),Open (GOOGL),High (GOOGL),Low (GOOGL),Close (GOOGL),Volume (GOOGL),Open (ADI),High (ADI),Low (ADI),Close (ADI),Volume (ADI),Open (QCOM),High (QCOM),Low (QCOM),Close (QCOM),Volume (TXN),Open (TXN),High (TXN),Low (TXN),Close (TXN),Volume (TXN)
5.7449,2005,2,25,5.7411,5.7564,5.6461,5.6975,255345043,5.7449,41.7,41.467,41.7,749,42.53,42.901,42.455,42.761,35704,104.77,106,104.68,105.79,70221808,34.68,35.23,34.48,34.99,5884177,21.243,21.284,21.09,21.173,74504375,94.575,94.96,92.755,92.935,19947000,30.804,31.484,30.605,31.093,4056252,29.903,31.382,29.827,31.281,26683037,21.928,22.669,21.884,22.517,18065574
5.6987,2005,2,28,5.7192,5.7807,5.6295,5.7449,182064525,5.6987,41.862,41.656,41.656,1174,43.021,43.117,42.501,42.77,46537,105.55,105.68,104.56,105.08,79695344,34.74,35.66,34.66,35.18,8537987,21.148,21.275,21.074,21.099,98716335,93,94.935,92.925,93.995,15636800,31.144,31.559,30.323,30.449,4068914,31.281,31.466,29.979,30.477,23955087,22.517,23.116,22.272,22.323,25723586
5.6499,2005,3,1,5.7753,5.7768,5.6553,5.6987,130906953,5.6499,42.057,41.824,42.039,2243,42.992,43.29,42.882,43.29,75806,105.22,105.87,105.22,105.62,54607412,35,35.41,34.82,35.39,5882562,21.124,21.307,21.074,21.199,67386874,94.645,94.875,91,93.03,18622400,30.821,31.566,30.821,31.51,4499937,30.612,31.18,30.485,30.74,15671426,22.687,23.03,22.651,22.896,16717359
5.3518,2005,3,2,5.6653,5.7486,5.6451,5.6499,127769264,5.3518,42.319,41.908,41.947,1388,42.919,43.405,42.733,43.088,22840,105.21,106.22,105.1,105.57,73733090,35.26,35.93,35.07,35.5,5007996,21.124,21.367,21.099,21.182,80778167,92.975,93.835,92.18,92.59,14571000,31.093,31.758,30.904,31.268,4946637,30.437,31.172,30.191,30.674,15331513,22.687,23.081,22.553,22.743,17436644
5.4823,2005,3,3,5.6861,5.6871,5.2786,5.3518,393686024,5.4823,42.029,41.496,41.756,2350,43.107,43.107,42.491,42.808,140033,105.99,106.2,105.15,105.61,71286823,35.51,35.96,35.4,35.65,5032573,21.208,21.225,21.082,21.109,62228435,93.065,93.875,92.155,93.505,15217200,31.336,31.426,30.398,30.623,3997882,30.917,30.934,29.776,29.937,18857525,22.768,22.896,22.222,22.416,20470183
5.4746,2005,3,4,5.3518,5.5078,5.3518,5.4823,210891321,5.4746,42.075,41.891,41.947,1281,43.001,43.237,42.828,42.891,42998,106.31,107.01,106.1,106.93,64483624,35.81,36.31,35.7,35.85,5537626,21.148,21.217,21.074,21.109,75073002,93.35,93.625,92.535,92.95,13548200,31.011,31.259,30.348,30.779,3376069,30.35,30.503,30.014,30.014,15116789,22.669,22.854,22.34,22.678,19548132
5.1903,2005,3,7,5.4823,5.5389,5.4235,5.4746,125688166,5.1903,42.59,42.075,42.405,5339,42.901,43.769,42.901,43.414,50072,106.86,107.38,106.62,106.97,50288014,35.81,36.4,35.81,36.32,3598083,21.109,21.627,21.099,21.359,95899114,93.89,94.8,93.515,94.405,17334800,30.779,31.118,30.597,30.721,4465808,29.962,31.787,29.928,31.609,29610374,22.651,23.435,22.617,23.081,31241772
5.0391,2005,3,8,5.3631,5.3989,5.1353,5.1903,284832101,5.0391,42.526,42.152,42.152,1922,43.499,43.702,43.069,43.117,42030,106.87,107.15,106.36,106.55,51274973,36.32,36.43,35.75,35.83,4792885,21.275,21.485,21.251,21.298,63048281,94.55,94.925,92.485,92.6,16092200,30.555,31.037,30.473,30.638,3451807,31.498,32.026,30.612,30.681,25044724,22.416,22.888,22.136,22.214,36662251
5.1007,2005,3,9,5.0701,5.1585,4.9726,5.0391,368655054,5.1007,42.311,41.947,42.075,7796,43.117,43.347,42.929,43.03,49002,106.25,106.52,105.38,105.39,84491113,35.82,36.5,34.9,35.4,7397188,21.267,21.442,21.199,21.225,75066895,92.105,92.325,90.08,90.675,22720800,30.845,31.259,30.564,30.614,4279845,30.46,31.331,30.309,31.062,21882684,22.214,22.669,22.214,22.467,23782255
5.1573,2005,3,10,5.0701,5.156,5.0073,5.1007,216651374,5.1573,42.065,41.601,41.991,5339,43.04,43.191,42.602,43.021,28519,105.4,105.85,104.89,105.62,74962248,35.25,35.71,34.57,34.91,5872177,21.341,21.367,21.173,21.323,70363294,90.505,90.6,88.7,89.99,21921000,30.654,31.51,30.364,31.385,5781550,31.078,31.585,30.722,31.35,17465685,22.669,23.013,22.45,22.841,24624503
