Future Close (AAPL),Year,Month,Day,Open (AAPL),High (AAPL),Low (AAPL),Close (AAPL),Volume (AAPL)
5.7449,2005,02,25,5.7411,5.7564,5.6461,5.6975,255345043
5.6987,2005,02,28,5.7192,5.7807,5.6295,5.7449,182064525
5.6499,2005,03,01,5.7753,5.7768,5.6553,5.6987,130906953
5.3518,2005,03,02,5.6653,5.7486,5.6451,5.6499,127769264
5.4823,2005,03,03,5.6861,5.6871,5.2786,5.3518,393686024
5.4746,2005,03,04,5.3518,5.5078,5.3518,5.4823,210891321
5.1903,2005,03,07,5.4823,5.5389,5.4235,5.4746,125688166
5.0391,2005,03,08,5.3631,5.3989,5.1353,5.1903,284832101
5.1007,2005,03,09,5.0701,5.1585,4.9726,5.0391,368655054
5.1573,2005,03,10,5.0701,5.156,5.0073,5.1007,216651374
5.1635,2005,03,11,5.1406,5.198,5.0968,5.1573,175363191
5.2453,2005,03,14,5.189,5.2235,5.0611,5.1635,168811933
5.2735,2005,03,15,5.2059,5.2685,5.1546,5.2453,142565244
5.4106,2005,03,16,5.2774,5.418,5.2223,5.2735,194688663
5.5016,2005,03,17,5.3209,5.4914,5.2914,5.4106,223864044
5.5963,2005,03,18,5.5426,5.5631,5.4427,5.5016,267630167
5.4849,2005,03,21,5.5476,5.6309,5.4888,5.5963,150909694
5.4491,2005,03,22,5.6,5.6295,5.4659,5.4849,153824003
5.4427,2005,03,23,5.4427,5.5579,5.3813,5.4491,170221155
5.4466,2005,03,24,5.504,5.5065,5.4427,5.4427,98439294
5.3465,2005,03,28,5.4746,5.5016,5.4386,5.4466,76349185
5.481,2005,03,29,5.4466,5.4849,5.3147,5.3465,128646798
5.3364,2005,03,30,5.3774,5.481,5.3556,5.481,109881234
5.2366,2005,03,31,5.4361,5.4454,5.3261,5.3364,177446775
5.2621,2005,04,01,5.3901,5.4016,5.1955,5.2366,178626772
5.3645,2005,04,04,5.2235,5.2901,5.1428,5.2621,161757381
5.4209,2005,04,05,5.2748,5.4094,5.2621,5.3645,155700131
5.5782,2005,04,06,5.4301,5.4823,5.3978,5.4209,115875061
5.6013,2005,04,07,5.4209,5.6025,5.4106,5.5782,141597901
5.3684,2005,04,08,5.5861,5.6923,5.5759,5.6013,181285925
5.4632,2005,04,11,5.6653,5.6665,5.367,5.3684,229275996
5.2556,2005,04,12,5.4441,5.5308,5.38,5.4632,274084040
4.7717,2005,04,13,5.504,5.5052,5.1724,5.2556,392996341
4.5271,2005,04,14,4.9687,5.1198,4.7178,4.7717,769047131
4.5615,2005,04,15,4.6884,4.7704,4.5182,4.5271,482438341
4.7497,2005,04,18,4.4911,4.6487,4.3538,4.5615,370169445
4.5476,2005,04,19,4.6821,4.7948,4.5938,4.7497,303124477
4.7615,2005,04,20,4.8227,4.8332,4.5384,4.5476,266453208
4.5462,2005,04,21,4.6591,4.7652,4.5974,4.7615,212976462
4.7358,2005,04,22,4.7125,4.7382,4.4692,4.5462,234139228
4.6345,2005,04,25,4.6727,4.7409,4.6244,4.7358,208444405
4.6038,2005,04,26,4.7064,4.8036,4.6258,4.6345,226668409
4.5513,2005,04,27,4.5845,4.6564,4.5476,4.6038,171368346
4.6177,2005,04,28,4.6463,4.6537,4.5129,4.5513,160641789
4.6653,2005,04,29,4.6167,4.6396,4.5102,4.6177,187399760
4.637,2005,05,02,4.6422,4.6933,4.6128,4.6653,129954717
4.7575,2005,05,03,4.6615,4.7052,4.6141,4.637,138580983
4.6972,2005,05,04,4.6422,4.7637,4.6231,4.7575,126218196
4.7691,2005,05,05,4.7637,4.7729,4.6703,4.6972,108044030
4.7344,2005,05,06,4.7358,4.7806,4.7114,4.7691,91044836
4.664,2005,05,09,4.7717,4.7961,4.7064,4.7344,99190182
4.5602,2005,05,10,4.6959,4.7704,4.6525,4.664,124488615
4.3708,2005,05,11,4.5143,4.568,4.2401,4.5602,572078532
4.4528,2005,05,12,4.5358,4.5576,4.3538,4.3708,270744354
4.5526,2005,05,13,4.3862,4.5117,4.363,4.4528,196689936
4.5282,2005,05,16,4.4398,4.5732,4.4219,4.5526,132290797
4.5899,2005,05,17,4.4988,4.5411,4.4231,4.5282,164419133
4.8086,2005,05,18,4.5462,4.8098,4.4809,4.5899,177573060
4.8086,2005,05,19,4.5845,4.8253,4.5819,4.8086,221611987
5.0918,2005,05,20,4.7819,4.8216,4.7626,4.8086,126332850
5.0842,2005,05,23,4.865,5.1097,4.8471,5.0918,291180906
5.0943,2005,05,24,5.0518,5.1213,4.9982,5.0842,165695531
5.2173,2005,05,25,5.0737,5.1161,5.0354,5.0943,115818917
5.1942,2005,05,26,5.1224,5.2427,4.9687,5.2173,146564901
5.0918,2005,05,27,5.2235,5.2235,5.1238,5.1942,88153399
5.1611,2005,05,31,5.2122,5.2173,5.0689,5.0918,112725720
5.1275,2005,06,01,5.1097,5.2199,5.1047,5.1611,126666104
4.8973,2005,06,02,5.1367,5.1635,5.0714,5.1275,104349496
4.8562,2005,06,03,4.8868,4.9406,4.8369,4.8973,267013051
4.6795,2005,06,06,4.9187,4.9469,4.8098,4.8562,226525416
4.728,2005,06,07,4.8319,4.8319,4.6677,4.6795,208220412
4.8216,2005,06,08,4.6907,4.7704,4.6832,4.728,115229808
4.5858,2005,06,09,4.7382,4.8586,4.7151,4.8216,108913865
4.5974,2005,06,10,4.7895,4.7895,4.5487,4.5858,189387246
4.6102,2005,06,13,4.5988,4.6884,4.5872,4.5974,121567036
4.755,2005,06,14,4.6141,4.6294,4.5781,4.6102,97548419
4.8637,2005,06,15,4.71,4.7766,4.6487,4.755,157118398
4.906,2005,06,16,4.7626,4.8768,4.7151,4.8637,154511983
4.8165,2005,06,17,4.9278,4.9356,4.8445,4.906,166475795
4.8484,2005,06,20,4.8537,4.878,4.7961,4.8165,90687155
4.9368,2005,06,21,4.8075,4.8906,4.7868,4.8484,103450911
4.9803,2005,06,22,4.9098,4.9433,4.8841,4.9368,119734681
4.8355,2005,06,23,4.9739,5.0943,4.9497,4.9803,188157265
4.7512,2005,06,24,5.006,5.0099,4.8253,4.8355,115865908
4.7781,2005,06,27,4.7217,4.8791,4.6972,4.7512,167664516
4.6576,2005,06,28,4.8011,4.8138,4.76,4.7781,97962542
4.7137,2005,06,29,4.7704,4.7754,4.6258,4.6576,126673007
4.6742,2005,06,30,4.6884,4.7587,4.6499,4.7137,116551667
4.8637,2005,07,01,4.7164,4.7344,4.6473,4.6742,69942386
4.7882,2005,07,05,4.6871,4.8854,4.6742,4.8637,126687338
4.819,2005,07,06,4.8394,4.8868,4.7637,4.7882,111345368
4.8984,2005,07,07,4.7125,4.8355,4.7125,4.819,107163730
4.8791,2005,07,08,4.8484,4.9022,4.7985,4.8984,81121389
4.8973,2005,07,11,4.9139,4.9497,4.8382,4.8791,108907602
4.9111,2005,07,12,4.8959,4.9174,4.8548,4.8973,108155388
5.2184,2005,07,13,4.8973,4.9304,4.8537,4.9111,214155362
5.3209,2005,07,14,5.2275,5.38,5.1519,5.2184,584584424
5.3134,2005,07,15,5.2314,5.3235,5.1816,5.3209,191832481
5.5308,2005,07,18,5.3147,5.3915,5.298,5.3134,163840286
5.5874,2005,07,19,5.3339,5.5363,5.2596,5.5308,187248178
5.5437,2005,07,20,5.4902,5.609,5.4619,5.5874,126658581
5.6347,2005,07,21,5.6025,5.6398,5.494,5.5437,113082587
5.6103,2005,07,22,5.5631,5.6347,5.5566,5.6347,84157752
5.5874,2005,07,25,5.6374,5.6706,5.6,5.6103,82264050
5.6334,2005,07,26,5.6347,5.6487,5.5528,5.5874,74921649
5.609,2005,07,27,5.6025,5.6438,5.4645,5.6334,79149666
5.4619,2005,07,28,5.6322,5.6347,5.5449,5.609,70852736
5.4746,2005,07,29,5.5834,5.6836,5.4118,5.4619,157219733
